timestamp	pid	state	cpu_lifetime_pct	mem_pct	rss_kib	vsz_kib	threads	elapsed_seconds	cpu_interval_pct
2026-09-24T00:40:34+09:00	385	R+	0.0	0.0	1792	2892	1	0	
2026-09-24T00:40:35+09:00	385	S+	9.2	0.0	1920	2896	1	1	9
2026-09-24T00:40:35+09:00	418	SN+	6.9	0.2	17536	23076	1	0	
2026-09-24T00:40:36+09:00	385	S+	4.6	0.0	1920	2896	1	2	0
2026-09-24T00:40:36+09:00	418	SN+	3.1	0.2	17536	23076	1	1	0
2026-09-24T00:40:38+09:00	385	S+	3.1	0.0	1920	2896	1	3	0
2026-09-24T00:40:38+09:00	418	SN+	2.0	0.2	17536	23076	1	3	0
2026-09-24T00:40:39+09:00	385	S+	2.3	0.0	1920	2896	1	4	0
2026-09-24T00:40:39+09:00	418	SN+	1.4	0.2	17536	23076	1	4	0
2026-09-24T00:40:40+09:00	385	S+	1.8	0.0	1920	2896	1	5	0
2026-09-24T00:40:40+09:00	418	SN+	1.1	0.2	17536	23076	1	5	0
2026-09-24T00:40:41+09:00	385	S+	1.5	0.0	1920	2896	1	6	0
2026-09-24T00:40:41+09:00	418	SN+	0.9	0.2	17536	23076	1	6	0
2026-09-24T00:40:42+09:00	385	S+	1.3	0.0	1920	2896	1	7	0
2026-09-24T00:40:42+09:00	418	SNl+	0.8	0.2	17536	171564	3	7	0
2026-09-24T00:40:43+09:00	385	S+	1.1	0.0	1920	2896	1	8	0
2026-09-24T00:40:43+09:00	418	SNl+	0.7	0.2	17536	171564	3	8	0
2026-09-24T00:40:44+09:00	385	S+	1.0	0.0	1920	2896	1	9	0
2026-09-24T00:40:44+09:00	418	SNl+	0.6	0.2	17536	171564	3	9	0
2026-09-24T00:40:45+09:00	385	S+	0.9	0.0	1920	2896	1	10	0
2026-09-24T00:40:45+09:00	418	SNl+	0.5	0.2	17536	171564	3	10	0
2026-09-24T00:40:46+09:00	385	S+	0.8	0.0	1920	2896	1	11	0
2026-09-24T00:40:46+09:00	418	SNl+	0.5	0.2	17536	171564	3	11	0
2026-09-24T00:40:47+09:00	385	S+	0.7	0.0	1920	2896	1	12	0
2026-09-24T00:40:47+09:00	418	SNl+	0.4	0.2	17536	171564	3	12	0
2026-09-24T00:40:48+09:00	385	S+	0.7	0.0	1920	2896	1	14	0
2026-09-24T00:40:48+09:00	418	SNl+	0.4	0.2	17536	171564	3	13	0
2026-09-24T00:40:49+09:00	385	S+	0.6	0.0	1920	2896	1	15	0
2026-09-24T00:40:49+09:00	418	SNl+	0.4	0.2	17536	171564	3	14	0
2026-09-24T00:40:50+09:00	385	S+	0.6	0.0	1920	2896	1	16	0
2026-09-24T00:40:50+09:00	418	SNl+	0.3	0.2	17536	171564	3	15	0
2026-09-24T00:40:52+09:00	385	S+	0.5	0.0	1920	2896	1	17	0
2026-09-24T00:40:52+09:00	418	SNl+	0.3	0.2	17536	171564	3	17	0
2026-09-24T00:40:53+09:00	385	S+	0.5	0.0	1920	2896	1	18	0
2026-09-24T00:40:53+09:00	418	SNl+	0.3	0.2	17536	171564	3	18	0
2026-09-24T00:40:54+09:00	385	S+	0.5	0.0	1920	2896	1	19	0
2026-09-24T00:40:54+09:00	418	SNl+	0.3	0.2	17536	171564	3	19	0
2026-09-24T00:40:55+09:00	385	S+	0.4	0.0	1920	2896	1	20	0
2026-09-24T00:40:55+09:00	418	SNl+	0.2	0.2	17536	171564	3	20	0
2026-09-24T00:40:56+09:00	385	S+	0.4	0.0	1920	2896	1	21	0
2026-09-24T00:40:56+09:00	418	SNl+	0.2	0.2	17536	171564	3	21	0
2026-09-24T00:40:57+09:00	385	S+	0.4	0.0	1920	2896	1	22	0
2026-09-24T00:40:57+09:00	418	SNl+	0.2	0.2	17536	171564	3	22	0
2026-09-24T00:40:58+09:00	385	S+	0.4	0.0	1920	2896	1	23	0
2026-09-24T00:40:58+09:00	418	SNl+	0.2	0.2	17536	171564	3	23	0
2026-09-24T00:40:59+09:00	385	S+	0.4	0.0	1920	2896	1	24	0
2026-09-24T00:40:59+09:00	418	SNl+	0.2	0.2	17536	171564	3	24	0
2026-09-24T00:41:00+09:00	385	S+	0.3	0.0	1920	2896	1	25	0
2026-09-24T00:41:00+09:00	418	SNl+	0.2	0.2	17536	171564	3	25	0
2026-09-24T00:41:01+09:00	385	S+	0.3	0.0	1920	2896	1	26	0
2026-09-24T00:41:01+09:00	418	SNl+	0.2	0.2	17536	171564	3	26	0
2026-09-24T00:41:02+09:00	385	S+	0.3	0.0	1920	2896	1	28	0
2026-09-24T00:41:02+09:00	418	SNl+	0.2	0.2	17536	171564	3	27	0
2026-09-24T00:41:03+09:00	385	S+	0.3	0.0	1920	2896	1	29	0
2026-09-24T00:41:03+09:00	418	SNl+	0.2	0.2	17536	171564	3	28	0
2026-09-24T00:41:04+09:00	385	S+	0.3	0.0	1920	2896	1	30	0
2026-09-24T00:41:04+09:00	418	SNl+	0.2	0.2	17536	171564	3	29	0
2026-09-24T00:41:05+09:00	385	S+	0.3	0.0	1920	2896	1	31	0
2026-09-24T00:41:05+09:00	418	SNl+	0.1	0.2	17536	171564	3	31	0
2026-09-24T00:41:06+09:00	385	S+	0.3	0.0	1920	2896	1	32	0
2026-09-24T00:41:06+09:00	418	SNl+	0.1	0.2	17536	171564	3	32	0
2026-09-24T00:41:07+09:00	385	S+	0.2	0.0	1920	2896	1	33	0
2026-09-24T00:41:07+09:00	418	SNl+	0.1	0.2	17536	171564	3	33	0
2026-09-24T00:41:08+09:00	385	S+	0.2	0.0	1920	2896	1	34	0
2026-09-24T00:41:08+09:00	418	SNl+	0.1	0.2	17536	171564	3	34	0
2026-09-24T00:41:09+09:00	385	S+	0.2	0.0	1920	2896	1	35	0
2026-09-24T00:41:09+09:00	418	SNl+	0.1	0.2	17536	171564	3	35	0
2026-09-24T00:41:10+09:00	385	S+	0.2	0.0	1920	2896	1	36	0
2026-09-24T00:41:10+09:00	418	SNl+	0.1	0.2	17536	171564	3	36	0
2026-09-24T00:41:11+09:00	385	S+	0.2	0.0	1920	2896	1	37	0
2026-09-24T00:41:11+09:00	418	SNl+	0.1	0.2	17536	171564	3	37	0
2026-09-24T00:41:12+09:00	385	S+	0.2	0.0	1920	2896	1	38	0
2026-09-24T00:41:12+09:00	418	SNl+	0.1	0.2	17536	171564	3	38	0
2026-09-24T00:41:13+09:00	385	S+	0.2	0.0	1920	2896	1	39	0
2026-09-24T00:41:13+09:00	418	SNl+	0.1	0.2	17536	171564	3	39	0
2026-09-24T00:41:14+09:00	385	S+	0.2	0.0	1920	2896	1	40	0
2026-09-24T00:41:14+09:00	418	SNl+	0.1	0.2	17536	171564	3	40	0
2026-09-24T00:41:15+09:00	385	S+	0.2	0.0	1920	2896	1	41	0
2026-09-24T00:41:15+09:00	418	SNl+	0.1	0.2	17536	171564	3	41	0
2026-09-24T00:41:16+09:00	385	S+	0.2	0.0	1920	2896	1	42	0
2026-09-24T00:41:16+09:00	418	SNl+	0.1	0.2	17536	171564	3	42	0
2026-09-24T00:41:17+09:00	385	S+	0.2	0.0	1920	2896	1	44	0
2026-09-24T00:41:18+09:00	418	SNl+	0.1	0.2	17536	171564	3	43	0
2026-09-24T00:41:19+09:00	385	S+	0.2	0.0	1920	2896	1	45	0
2026-09-24T00:41:19+09:00	418	SNl+	0.1	0.2	17536	171564	3	44	0
2026-09-24T00:41:20+09:00	385	S+	0.2	0.0	1920	2896	1	46	0
