timestamp	pid	state	cpu_lifetime_pct	mem_pct	rss_kib	vsz_kib	threads	elapsed_seconds
2026-09-16T20:57:26+09:00	399	R+	0.0	0.0	1792	2892	1	0
2026-09-16T20:57:27+09:00	399	S+	9.4	0.0	1920	2896	1	1
2026-09-16T20:57:27+09:00	420	SN+	8.3	0.2	17664	23092	1	0
2026-09-16T20:57:28+09:00	399	S+	4.7	0.0	1920	2896	1	2
2026-09-16T20:57:28+09:00	420	SN+	3.7	0.2	17664	23092	1	1
2026-09-16T20:57:29+09:00	399	S+	3.1	0.0	1920	2896	1	3
2026-09-16T20:57:29+09:00	420	SN+	3.0	0.5	43264	48696	1	2
2026-09-16T20:57:30+09:00	399	S+	2.3	0.0	1920	2896	1	4
2026-09-16T20:57:30+09:00	420	SN+	2.2	0.5	43264	48696	1	3
2026-09-16T20:57:31+09:00	399	S+	1.9	0.0	1920	2896	1	5
2026-09-16T20:57:31+09:00	420	SN+	1.8	0.5	43264	48696	1	4
